CATEGORÍA,CÓDIGO,DESCRIPCIÓN,STOCK,PRECIO DÓLARES,GARANTÍA,MARCA,PROMOCIÓN,DETALLE PROMOCIÓN
cpu ci3 14xxx s1700,cpili314100,"procesador intel core i3-14100 3.50/4.70ghz, 12 mb intel smart caché, lga1700, 60w/11",20,113.46,W,intel corp,,
cpu ci3 14xxx s1700,cpili314100f,"procesador intel core i3-14100f 3.50/4.70ghz, 12 mb intel smart caché, lga1700, 58w/1",4,81.91,W,intel corp,,
cpu ci5 10xxx s1200,cpili510400,"procesador intel core i5-10400, 2.90 ghz, 12 mb caché l3, lga1200, 65w, 14 nm.[@@@]vi",16,124.52,W,intel corp,,
cpu ci5 10xxx s1200,cpili510400f,"procesador intel core i5-10400f, 2.90 ghz, 12 mb caché l3, lga1200, 65w, 14 nm.[@@@]<",20,97.38,W,intel corp,,
cpu ci5 11xxx s1200,cpili511400f,"procesador intel core i5-11400f 2.60 / 4.40 ghz, 12 mb caché l3, lga1200, 65w, 14 nm.",4,111.45,W,intel corp,,
cpu ci5 12xxx s1700,cpili512400f,"procesador intel core i5-12400f, 2.50/4.40ghz, 18mb caché l3, lga1700, 117w, intel 7(",20,109.44,W,intel corp,,
cpu ci5 12xxx s1700,cpili512600k,"procesador intel core i5-12600k 3.70 / 4.90ghz, 20mb caché l3, lga1700, 125w, 10 nm.[",4,187.83,W,intel corp,,
cpu ci5 12xxx s1700,cpili512600kf,"procesador intel core i5-12600kf 3.70 / 4.90ghz, 20mb caché l3, lga1700, 125w, 10 nm.",2,162.31,W,intel corp,,
cpu ci5 13xxx s1700,cpili513400,"procesador intel core i5-13400 2.50/4.60ghz 20mb smartcaché, lga1700, 65w, intel 7(10",8,158.04,W,intel corp,,
cpu ci5 13xxx s1700,cpili513400f,"procesador intel core i5-13400f 2.50/4.60ghz 20mbsmartcaché, lga1700, 65w, intel 7(10",20,125.37,W,intel corp,,
cpu ci5 14xxx s1700,cpili514400,"procesador intel core i5-14400 2.50/4.70ghz, 20 mb intel smart caché, lga1700, 65w/14",10,162.76,W,intel corp,,
cpu ci5 14xxx s1700,cpili514400f,"procesador intel core i5-14400f 2.50/4.70ghz, 20 mb intel smart caché, lga1700, 65w/1",20,130.55,W,intel corp,,
cpu ci5 14xxx s1700,cpili514600k,"procesador intel core i5-14600k 3.50/5.30ghz, 24 mb intel smart caché, lga1700, 125w/",5,222.61,W,intel corp,,
cpu ci5 14xxx s1700,cpili514600kf,"procesador intel core i5-14600kf 3.50/5.30ghz, 24mb intel smart caché, lga1700, 125w/",5,211.55,W,intel corp,,
cpu ci5 7xxx s1151,cpili57500,"procesador intel core i5-7500, 3.40 ghz, 6 mb caché l3, lga1151, 65w, 14 nm.[@@@]inte",2,99.5,W,intel corp,,
cpu ci5 9xxx s1151-v2,cpili59400t,"procesador intel core i5-9400, 2.90 ghz, 9 mb caché l3, lga1151, 65w, 14 nm.[@@@]tecn",5,115.47,W,intel corp,,
cpu ci7 12xxx s1700,cpili712700,"procesador intel core i7-12700 2.10/4.90ghz, 25mbsmartcaché, lga1700, 65w, intel 7(10",20,282.91,W,intel corp,,
cpu ci7 12xxx s1700,cpili712700f,"procesador intel core i7-12700f, 2.10 / 4.90ghz, 25mb smartcaché, lga1700, intel 7(10",20,247.13,W,intel corp,,
cpu ci7 12xxx s1700,cpili712700k,"procesador intel core i7-12700k 3.60 / 5.00ghz, 25mb caché l3, lga1700, 125w, 10 nm.[",12,282.41,W,intel corp,,
cpu ci7 12xxx s1700,cpili712700kf,"procesador intel core i7-12700kf 3.60 / 5.00ghz, 25mb caché l3, lga1700, 125w, 10 nm.",5,259.19,W,intel corp,,
