
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2025-03-17 04:20:38
,"Almacen(es) :,'HUANCAYO'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.660"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 5 SAM5 8XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 5 sam5 8xxx","cpam5r58600g","procesador amd ryzen 5 8600g 4.30 / 5.00 ghz, 16mb l3 cache, 6-cores, 4nm, tdp: 65w[@", ,175.37, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 5 SAM5 9XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 5 sam5 9xxx","cpam5r59600x","procesador amd ryzen 5 9600x 3.90 / 5.40 ghz, 32mb l3 cache, 6-cores, 4nm, tdp: 65w[@",2,240.70, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 7 SAM4 5XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 7 sam4 5xxx","cpam4r75700x","procesador amd ryzen 7 5700x, 3.40 / 4.60ghz, 32mb l3 cache, 8-core, am4, 7nm, 65w.[@",4,169.54, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 7 SAM5 7XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 7 sam5 7xxx","cpam5r77700x","procesador amd ryzen 7 7700x 4.5/5.4ghz, 32mb l3,8-core, am5, 105w.[@@@]integra contr",2,306.42, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 7 SAM5 8XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 7 sam5 8xxx","cpam5r78700g","procesador amd ryzen 7 8700g 4.20 / 5.10 ghz, 16mb l3 cache, 8-cores, 5nm, tdp: 65w[@",4,265.82, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 7 SAM5 9XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 7 sam5 9xxx","cpam5r79700x","procesador amd ryzen 7 9700x 3.80 / 5.50 ghz, 32mb l3 cache, 6-cores, 4nm, tdp: 65w[@",4,332.66, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 9 SAM5 9XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 9 sam5 9xxx","cpam5r99900x","procesador amd ryzen 9 9900x 4.40 / 5.60 ghz, 64mb l3 cache, 12-cores, 4nm, tdp: 120w", ,401.90, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CELERON S1200 GXXXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu celeron s1200 gxxxx","cpilg5905","procesador intel celeron g5905, 3.50 ghz, 4 mb caché l3, lga1200, 58w, 14 nm.[@@@]con",3,43.16, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI3 10XXX S1200","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci3 10xxx s1200","cpili310105","procesador intel core i3-10105, 3.70 / 4.40 ghz, 6 mb caché l3, lga1200, 65w, 14 nm.[",9,86.93, ,"","W","intel corp"
